رقم	اسم البلدية	Commune - Fr
0601	بجاية	BEJAIA
0634	برباشة	BARBACHA
0623	بن جليل	BENI DJELIL
0650	بنى معوش	BENI MAOUCHE
0638	بنى مليكش	BENI MELIKECHE
0652	بوجليل	BOUDJELLIL
0637	بوحمزة	BOUHAMZA
0648	بوخليفة	BOUKHELIFA
0604	تأوريرت اغيل	TAOURIRT IGHIL
0627	تازمالت	TAZMALT
0631	تاسقريوت	TASKRIOUT
0646	تامريجت	TAMRIDJET
0606	تامقرة	TAMOKRA
0619	توجة	TOUDJA
0649	تيزى نبربر	TIZI NBERBER
0611	تيشي	TICHY
0614	تيفرة	TIFRA
0607	تيمزريت	TIMEZRIT
0610	تينبذار	TINEBDAR
0633	ثالة حمزة	TALA HAMZA
0644	خراطة	KHERRATA
0620	درقينة	DARGUINA
0645	ذراع القايد	DRAA EL KAID
0612	سمعون	SEMAOUN
0608	سوق الأثنين	SOUK EL TENINE
0621	سيدي عياد	SIDI AYAD
0639	سيدي عيش	SIDI AICH
0605	شالطة	CHELLATA
0629	شميني	CHEMINI
0626	صدوق	SEDDOUK
0632	طيبان	TIBANE
0603	فرعون	FERRAOUN
0613	قنديرة	KENDIRA
0643	لفالى	LEFLAYE
0609	مكيسنة	MCISNA
0641	ملبو	MELBOU
0635	نى قسيلة	BENI KSILA
0651	وادى غير	OUED GHIR
0724	أورالل	OURLAL
0705	أولاد جالل	OULED DJELLAL
0702	أوماس	OUMACHE
0703	البرانس	BRANIS
0732	الحاجب	EL HADJAB
0713	الحوش	EL HAOUCHE
0709	الدوسن	DOUCEN
0710	الشعيبة	ECH CHAIBA
0731	الغروس	EL GHROUS
0716	الفيض	EL FEIDH
0717	القنطرة	EL KANTARA
0728	المزيرعة	MEZIRAA
0719	الوطاية	EL OUTAYA
0727	برج بن عزوز	BORDJ BENAZZOUZ
0707	بسبس	BESBES
0701	بسكرة	BISKRA
0729	بوشقرون	BOUCHAGROUN
0720	جمورة	DJEMORAH
0733	خنقة سيدي ناجى	KHENGHET SIDI NAJI
0706	راس الميعاد	RAS EL MIAD
0715	زربية الوادى	ZERIBET EL OUED
0708	سيدي خالد	SIDI KHALED
0711	سيدي عقبة	SIDI OKBA
0704	شتمة	CHETMA
0721	طولقة	TOLGA
0714	عين الناقة	AIN NAGA
0718	عين زعطوط	AIN ZAATOUT
0726	فوغالة	FOUGHALA
0723	لشانة	LICHANA
0722	لواء	LIOUA
0730	مخادمة	MEKHADMA
0712	مشونش	MCHOUNECHE
0725	مليلى	MLILI
0803	أولاد خدير	OULED KHOUDIR
0806	الأحمر	LAHMAR
0817	العبادلة	ABADLA
0814	الوطاء	EL OUATA
0811	ايقلى	IGLI
0801	بشار	BECHAR
0807	بنى عباس	BENI ABBES
0821	بنى و نيف	BENI OUNIF
0808	بنى يخلف	BENI IKHLEF
0815	بوقا يس	BOUKAIS
0813	تاغيت	TAGHIT
0820	تامترت	TAMERT
0812	تبلبلة	TABALBALA
0805	تيمودى	TIMOUDI
0802	عرق فراج	ERG FERRADJ
0819	قصابى	KSABI
0810	قنادسة	KENADSA
0818	كرزاز	KERZAZ
0804	مريجة	MERIDJA
0809	مشرع ھوارى بومدين	MECHRAA H. BOUMEDIENE
0816	موغل	MOGHUEUL
0919	أولاد سالمة	OULED SLAMA
0921	الأربعاء	LARBAA
0901	البليدة	BLIDA
0902	الشبلي	CHEBLI
0908	الشريعة	CHREA
0911	الشفة	CHIFFA
0910	العفرون	EL AFFROUN
0907	اوالد يعيش	OULED YAICH
0923	بني تامو	BENI TAMOU
0913	بني خليل	BENKHELIL
0925	بني مراد	BENI MERED
0924	بوعرفة	BOUARFA
0903	بوعينان	BOUINAN
0920	بوفاريك	BOUFARIK
0926	بوقارة	BOUGARA
0929	جبابرة	DJEBABRA
0912	حمام ملوان	HAMMAM MELOUANE
0917	صوحان	SOUHANE
0914	صومعة	SOUMAA
0928	عين الرمانة	AIN ROMANA
0927	قرواو	GUEROUAOU
0918	مفتاح	MEFTAH
0916	موزاية	MOUZAIA
0904	وادى العاليق	OUED ALLEUG
0922	وادى جر	OUED DJER
1043	آث منصور	TAOURIRT
1027	أغبالو	AGHBALOU
1016	أوعمر	AOMAR
1040	أولاد راشد	OULED RACHED
1008	آيت لعزيز	AIT LAAZIZ
1022	أھل القصر	AHL EL KSAR
1013	الأخضرية	LAKHDARIA
1002	الأصنام	EL ASNAM
1001	البويرة	BOUIRA
1020	الحاكمية	EL HAKIMIA
1006	الحانيف	HANIF
1042	الحجرة الزرقاء	HADJERA ZERGA
1012	الحيزر	HAIZER
1021	الخبوزية	EL KHABOUZIA
1031	الدشمية	DECHMIA
1017	الشرفاء	CHORFA
1030	الصھاريج	SAHARIDJ
1019	العجيبة	EL ADJIBA
1005	القادرية	KADIRIA
1014	المعلمة	MAALA
1039	المعمورة	MAAMORA
1044	المقراني	EL MOKRANI
1015	الھاشمية	EL HACHIMIA
1036	بئر غبالو	BIR GHBALOU
1018	برج أوخريص	BORDJ OUKHRISS
1033	بشلول	BECHLOUL
1023	بودربالة	BOUDERBALA
1034	بوكروم	BOUKRAM
1009	تاغزوت	TAGHZOUT
1028	تاقديت	TAGUEDIT
1026	جباحية	DJEBAHIA
1007	ديرة	DIRAH
1010	راوراوة	RAOURAOUA
1032	ريدان	RIDANE
1024	زبربر	ZBARBAR
1004	سوق الخميس	SOUK EL KHEMIS
1038	صور الغزلان	SOUR GHOZLANE
1029	عين الترك	AIN TURK
1025	عين الحجار	AIN EL HADJAR
1041	عين العلوى	AIN LALOUI
1035	عين بسام	AIN BESSAM
1003	قرومة	GUERROUMA
1011	مزدور	MEZDOUR
1037	مشدا الله	MCHEDELLAH
1045	وادى البردي	OUED EL BERDI
1102	أباليسا	ABALESSA
1105	أدلس	IDLES
1104	أن قزام	IN GUEZZAM
1109	ام أمقل	IN AMGUEL
1108	ان صالح	IN SALAH
1103	ان غار	IN GHAR
1106	تازروق	TAZROUK
1101	تمنراست	TAMANRASSET
1107	تين زاوتين	TIN ZOUATINE
1110	فقارت الزاوية	FOGGARET EZZAOUIA
1221	أم على	OUM ALI
1208	الحمامات	HAMMAMET
1206	الحويجبات	LHAOUIDJBET
1203	الشريعة	CHERIA
1213	العقلة	EL OGLA
1215	العقلة المالحة	EL OGLA MALHA
1205	العوينات	EL AOUINET
1211	الكويف	EL KOUIF
1220	الماء الأبيض	EL MA EL BIOD
1224	المريج	EL MERIDJ
1227	المزرعة	EL MEZERAA
1219	الونزة	OUENZA
1214	بئر الذھب	BIR DHEHEB
1202	بئر العاتر	BIR EL ATER
1210	بئر المقدم	BIR MOKADEM
1226	بجن	BEDJENE
1217	بكارية	BEKKARIA
1218	بوخضرة	BOUKHADRA
1225	بولحاف الدير	BOULHAF DIR
1201	تبسة	TEBESSA
1222	ثليجان	TLIDJEN
1204	سطح قنطيس	STAH GUENTIS
1207	صفصاف الوسرة	SAFSAF OUESRA
1223	عين الزرقاء	AIN ZERGA
1228	فركان	FERKANE
1216	قوريقر	GUORRIGUER
1212	مرسط	MORSOTT
1209	نقرين	NEGRINE
1346	أولاد رياح	OULED RIYAH
1313	أولاد ميمون	OULED MIMOUN
1324	ابن سكران	BENSEKRANE
1343	البويھي	EL BOUIHI
1326	الحناية	HENNAYA
1304	الرمشى	REMCHI
1322	السبعة شيوخ	SEBAA CHIOUKH
1329	السواحلية	SOUAHLIA
1308	السوانى	SOUANI
1332	العريشة	EL ARICHA
1353	العين الكبيرة	AIN KEBIRA
1307	الغزوات	GHAZAOUET
1305	الفحول	EL FEHOUL
1310	القور	EL GOR
1351	المنصورة	MANSOURAH
1318	باب العسة	BAB EL ASSA
1338	بنى بوسعيد	BENI BOUSSAID
1342	بنى بھدل	BENI BAHDEL
1317	بنى سنوس	BENI SNOUS
1352	بني صميل	BENI SMIEL
1302	بنى مستر	BENI MESTER
1336	بني ورسوس	BENI OUARSOUS
1347	بوحلو	BOUHLOU
1301	تلمسان	TLEMCEN
1345	تيانت	TIANET
1323	تيرنى بنى ھديل	TERNI BENI HEDIEL
1309	جبالة	DJEBALA
1328	حمام بوغرارة	HAMMAM BOUGHRARA
1344	حنين	HONAINE
1319	دار يغمراسن	DAR YAGHMORICENE
1316	زناتة	ZENATA
1335	سبدو	SEBDOU
1333	سوق الثالثاء	SOUK THLATA
1348	سوق الخميس	BENI RACHED
1341	سيدي الجيلالي	SIDI DJILALI
1334	سيدي عبد اللى	SIDI ABDELLI
1337	سيدي مجاھد	SIDI MEDJAHED
1350	شتوان	CHETOUANE
1306	صبرة	SABRA
1314	عمير	AMIEUR
1349	عين الغرابة	AIN GHORABA
1325	عين النحالة	AIN NEHALA
1303	عين تالوت	AIN TELLOUT
1331	عين فتاح	AIN FETAH
1312	عين فزة	AIN FEZZA
1315	عين يوسف	AIN YOUCEF
1320	فالوسن	FELLAOUCENE
1321	لغزايل	AZAILS
1339	مرسى بن مھيدي	MARSA BEN MHIDI
1330	مسيردة الفواقة	MSIRDA FOUAGA
1327	مغنية	MAGHNIA
1340	ندرومة	NEDROMA
1311	وادى الشولى	OUED CHOULI
1419	أولاد جراد	DJEBILET ROSFA
1435	الحمادية	HAMADIA
1430	الرشايقة	RECHAIGA
1411	السبت	SEBT
1416	السوقر	SOUGUEUR
1441	الفايجة	FAIDJA
1415	المھدية	MAHDIA
1431	الناظورة	NADORAH
1420	النعيمة	NAIMA
1440	بوقرة	BOUGARA
1437	تاخمرت	TAKHEMARET
1432	تاقدمت	TAGDEMT
1426	توسنينة	TOUSNINA
1401	تيارت	TIARET
1442	تيدة	TIDDA
1424	جياللي بن عمار	DJILLALI BEN AMAR
1413	دھمونى	DAHMOUNI
1414	رحوية	RAHOUIA
1409	زمالة الأمير عبد القادر	ZMALET EMIR AEK
1425	سبعين	SEBAINE
1439	سرغين	SERGHINE
1423	سيدي الحسني	SIDI HOSNI
1407	سيدي بختي	SIDI BAKHTI
1438	سيدي عبد الرحمان	SIDI ABDERRAHMANE
1417	سيدي عبد الغنى	SI ABDELGHANI
1404	سيدي علي مالل	SIDI ALI MELLAL
1436	شحيمة	CHEHAIMA
1418	عين الحديد	AIN EL HADID
1406	عين الذھب	AIN DEHEB
1403	عين بوشقيف	AIN BOUCHEKIF
1405	عين زاريت	AIN ZAIRIT
1428	عين كرمس	AIN KERMES
1427	فرندة	FRENDA
1422	قرطوفة	GUERTOUFA
1429	قصر الشلالة	KSAR CHELLALA
1410	مادنة	MADNA
1412	مالكو	MELLAKOU
1402	مدروسة	MEDROUSSA
1408	مدريسة	MEDRISSA
1434	مشرع الصفاء	MECHRAA SAFA
1421	مغيلة	MEGHILA
1433	وادى ليلى	OUED LILLI
1560	أبودرارن	IBOUDRAREN
1531	أبى يوسف	ABI YOUCEF
1549	آجر	IDJEUR
1537	أزفون	AZZEFOUN
1566	أسى يوسف	ASSI YOUCEF
1553	أغريب	AGHRIB
1544	أقرو	AKERROU
1561	آقنى قغران	AGHNI GOUGHRAN
1563	أمسوحال	IMSOUHAL
1535	آيت أقواشة	AIT AGGOUACHA
1542	آيت أومالو	AIT OUMALOU
1565	آيت بوعدو	AIT BOUADDOU
1530	آيت بومھدى	AIT BOUMEHDI
1567	آيت تودرت	AIT TOUDERT
1558	آيت خليل	AIT KHELILI
1513	آيت شفعة	AIT CHAFFAA
1528	آيت محمود	AIT MAHMOUD
1556	آيت يحى موسى	AIT YAHIA MOU.
1527	آيت يحيى	AIT YAHIA
1507	ارجن	IRDJEN
1520	اعكورن	YAKOUREN
1517	افرحونن	IFERHOUNENE
1554	افليسن	IFLISSEN
1503	اقبيل	AKBIL
1521	الأربعاء نايت ايراثن	LARBA NAIT IRATHEN
1529	المعاتقة	MAATKA
1533	اليلتين	ILLILTEN
1541	ايفيغاء	IFIGHA
1519	ايلولو أما لو	ILOULA OUMALOU
1532	بنى دوالة	BENI DOUALA
1516	بنى زمنزر	BENI ZMENZER
1546	بنى زيكى	BENI ZIKI
1515	بنى عيسى	BENI AISSI
1552	بنى ينى	BENI YENNI
1555	بوجيمئة	BOUDJIMA
1534	بوزقن	BOUZGUEN
1540	بوغنى	BOGHNI
1512	بونوح	BOUNOUH
1564	تادمايت	TADMAIT
1538	تقزرت	TIGZIRT
1543	تيرمتين	TIRMIRTINE
1501	تيز?وزو	TIZI OUZOU
1522	تيزى راشد	TIZI RACHED
1511	تيزى غنيف	TIZI GHENIF
1551	تيزى نثالثة	TIZI N’THLATA
1508	تيمزارت	TIMIZART
1539	جبل عيسى ميمون	DJEBEL AISSA MIMOUN
1510	ذراع الميزان	DRAA EL MIZAN
1547	ذراع بن خدة	DRAA BEN KHEDA
1523	زكرى	ZEKRI
1505	سوامع	SOUAMAA
1557	سوق الإثنين	SOUK EL TENINE
1559	سيدي نعمان	SIDI NAAMANE
1518	عزازقة	AZAZGA
1502	عين الحمام	AIN EL HAMMAM
1525	عين الزاوية	AIN ZAOUIA
1504	فريحة	FREHA
1514	فريقات	FRIKAT
1509	ماكودة	MAKOUDA
1562	مزرانة	MIZRANA
1506	مشتراس	MECHTRASS
1550	مقلع	MEKLA
1526	مكيرة	M’KIRA
1524	وا قنون	OUAGUENOUN
1548	واسيف	OUACIF
1536	واضية	OUADHIA
1545	ياطفان	YATAFENE
1635	أولاد الشبل	OULED CHEBEL
1651	أولاد فايت	OULED FAYET
1610	الأبيار	EL BIAR
1601	الجزائر الوسطى	ALGER CENTRE
1604	الحامة العناصر	HAMMA ANNASSERS
1613	الحراش	EL HARRACH
1624	الحمامات	HAMMAMET
1620	الدار البيضاء	DAR EL BEIDA
1649	الدرارية	DRARIA
1648	الدويرة	DOUERA
1625	الرايس حميدو	RAIS HAMIDOU
1650	الرحمانية	RAHMANIA
1638	الرويبة	ROUIBA
1652	الشراقة	CHERAGA
1654	العاشور	EL ACHOUR
1618	القبة	KOUBA
1607	القصبة	CASBAH
1633	الكليتوس	EUCALYPTUS
1629	المحمدية	MOHAMMADIA
1603	المدنية	EL MADANIA
1627	المرادية	EL MOURADIA
1643	المرسى	EL MARSA
1631	المغارية	EL MAGHARIA
1639	الھراوة	HARRAOUA
1636	بئر توتة	BIRTOUTA
1612	بئر خادم	BIRKHADEM
1609	بئر مراد رايس	BIR MOURAD RAIS
1621	باب الزوار	BAB EZZOUAR
1605	باب الوادي	BAB EL OUED
1647	بابا حسن	BABA HASSEN
1619	باش جراح	BACHDJARAH
1614	براقي	BARAKI
1642	برج البحري	BORDJ EL BAHRI
1630	برج الكيفان	BORDJ EL KIFFAN
1622	بن عكنون	BEN AKNOUN
1632	بني مسوس	BENI MESSOUS
1616	بوروبة	BOUBOUBA
1611	بوزريعة	BOUZEREAH
1606	بولوغين  إبن زيري	BOLOGHINE
1634	تسالة المرجى	TESSALA EL MERDJA
1626	جسر قسنطينة	DJASR KASENTINA
1617	حسين داي	HUSSEIN DEY
1628	حيدرة	HYDRA
1656	خراسية	KHRAICIA
1623	دالي إبرھيم	DELY IBRAHIM
1640	رغاية	REGHAIA
1644	زرالدة	ZERALDA
1645	سحاولة	SAOULA
1653	سطاوالي	STAOUELI
1655	سويدانية	SOUIDANIA
1602	سيدي امحمد	SIDI MHAMED
1637	سيدي موسى	SIDI MOUSSA
1657	عين البنيان	AIN BENIAN
1641	عين طاية	AIN TAYA
1646	محالمة	MAHELMA
1615	وادي سمار	OUED SMAR
1608	وادي قريش	OUED KOREICHE
1724	أم العظام	OUM LAADHAM
1714	الإدريسية	EL IDRISSIA
1701	الجلفة	DJELFA
1711	الخميس	EL KHEMIS
1726	الشارف	CHAREF
1703	القديد	EL GUEDID
1718	القطارة	GUETTARA
1713	المليليجة	MLILIHA
1732	بن ھار	BENHAR
1727	بنى يعقوب	BENIYAGOUB
1709	بويرة الأحدب	BOUIRA LAHDEB
1708	بيرين	BIRINE
1736	تاعظميت	TADMIT
1716	حاسى العش	HASSI EL EUCH
1704	حاسي بحبح	HASSI BAHBAH
1733	حاسى فدول	HASSI FEDOUL
1720	حد الصحارى	HAD SAHARY
1725	دار الشيوخ	DAR CHIOUKH
1729	دلدول	DELDOUL
1715	دويس	DOUIS
1728	زعفران	ZAAFRANE
1710	زكار	ZACCAR
1706	سد الرحال	SED RAHAL
1722	سلمانة	SELMANA
1712	سيدي بايزيد	SIDI BAIZID
1719	سيدي لعجال	SIDI LADJEL
1734	عمورة	AMOURAH
1730	عين الإبل	AIN EL IBEL
1723	عين الشھداء	AIN CHOUHADA
1735	عين فكة	AIN FEKKA
1705	عين معبد	AIN MAABED
1731	عين وسارة	AIN OUSSERA
1707	فيض البطمة	FEIDH EL BOTMA
1721	قرنيني	GUERNINI
1702	مجبر	MOUDJEBARA
1717	مسعد	MESSAAD
1802	أرا قن	ERRAGUENE
1827	أولاد رابح	OULED RABAH
1821	أولاد يحيى خدروش	OULED YAHIA
1806	الأمير عبد القادر	EMIR ABDELKADER
1825	الجمعة بنى حبيبى	DJEMAA BENI HABIBI
1811	السطارة	SETTARA
1807	الشقفة	CHEKFA
1805	الطاھير	TAHER
1812	العنصر	EL ANCER
1803	العوانة	EL AOUANA
1820	القنار نوشفى	EL KENAR NOUCHFI
1809	الميلية	EL MILIA
1826	برج الطھر	BORDJ TAHER
1822	بودريعة بن ياجيس	BOUDRIA BENI YADJIS
1816	بوراوى بلھادف	BOURAOUI BELH.
1819	بوسيف أولاد عسكر	OULED ASKEUR
1824	تاكسنة	TEXENA
1801	جيجل	JIJEL
1817	جيملة	DJMILA
1804	زيامة منصورية	ZIAMMA MANSOURIAH
1818	سلمى بن زيادة	SELMA BENZIADA
1813	سيدي عبد العزيز	SIDI ABDELAZIZ
1810	سيدي معروف	SIDI MAAROUF
1808	شحنة	CHAHANA
1815	غبالة	GHEBALA
1814	قاوس	KAOUS
1823	قمير وادى عجول	KHIRI OUED ADJOUL
1828	وجانة	OUDJANA
1910	أولاد تبان	OULED TEBBEN
1947	أولاد صابر	OULED SABOR
1924	أولاد عدوان	OULED ADDOUANE
1904	أولادى سي أحمد	OULED SI AHMED
1954	آيت تيزي	AIT TIZI
1951	آيت نوال مزادة	AIT NAOUAL M.
1960	التلة	TELLA
1911	الحامة	HAMMA
1915	الدھامشة	DEHEMCHA
1923	الرصفة	ROSFA
1958	الطاية	TAYA
1920	العلمة	EL EULMA
1902	العين الكبيرة	AIN EL KEBIRA
1956	القلتة الزرقاء	GUELTA ZERKA
1937	الوريسية	EL OURICIA
1959	الولجة	EL OULDJA
1908	بئر العرش	BIR EL ARCH
1934	بئر حدادة	BIR HADDADA
1916	بابور	BABOR
1931	بازر الصخرة	BAZER SAKRA
1925	بلعة	BELLAA
1953	بنى حسين	BENI HOCINE
1909	بنى شبانة	BENI CHEBANA
1903	بنى عزيز	BENI AZIZ
1944	بنى فودة	BENI FOUDA
1946	بنى محلى	BENI MOUHLI
1922	بنى ورثيالن	BENI OURTILANE
1919	بوسالم	BOUSSELAM
1905	بوطالب	BOUTALEB
1930	بوعنداس	BOUANDAS
1943	بوقاعة	BOUGAA
1929	بيضاء برج	BEIDHA BORDJ
1945	تاشورة	TACHOUDA
1942	تالة إيفاسن	TALAIFACENE
1938	تيزى نبشار	TIZI NBECHAR
1921	جميلة	DJEMILA
1936	حربيل	HARBIL
1932	حمام السخنة	HAMMAM ESSOKHNA
1950	حمام القرقور	HAMMAM GUERGOUR
1907	ذراع قبيلة	DRAA KEBILA
1935	سرج الغول	SERDJ EL GHOUL
1901	سطيف	SETIF
1939	صالح باي	SALAH BEY
1927	عموشة	AMOUCHA
1926	عين أرنات	AIN ARNAT
1928	عين أولمان	AIN OULMANE
1940	عين ازال	AIN AZAL
1918	عين الحجر	AIN LAHDJAR
1906	عين الروى	AIN ROUA
1949	عين السبت	AIN SEBT
1914	عين عباسة	AIN ABESSA
1913	عين لقراج	AIN LEGRADJ
1948	قالل	GUELLAL
1917	قجال	GUIDJEL
1952	قصر الأبطال	KSAR EL ABTAL
1941	قنزات	GUENZET
1933	مزلوق	MEZLOUG
1912	معاوية	MAAOUIA
1955	موكالن	MAOUAKLANE
1957	وادي البارد	OUED EL BARAD
2014	أولاد ابراھيم	OULED BRAHIM
2004	أولاد خالد	OULED KHALED
2010	الحساسنة	EL HASSASSNA
2013	العين السخونة	AIN SKHOUNA
2011	المعمورة	MAAMORA
2015	تيرسين	TIRCINE
2007	حنات	HOUNET
2002	دوى ثابت	DOUI THABET
2001	سعيدة	SAIDA
2012	سيدي أحمد	SIDI AHMED
2009	سيدي بوبكر	SIDI BOUBEKEUR
2008	سيدي عمار	SIDI AMAR
2003	عين الحجر	AIN HADJAR
2016	عين السلطان	AIN SOLTANE
2005	مولاي العربي	MOULAY LARBI
2006	يوب	YOUB
2128	أم الطوب	OUM TOUB
2118	أولاد حبابة	OULED HEBABA
2113	أولاد عطية	OULED ATTIA
2103	الحدائق	EL HADAIK
2116	الحروش	EL HARROUCH
2115	الزيتونة	ZITOUNA
